Album,Song,Year,Total_Streams,Daily,BestEmotion,joy,sadness,love,anger,surprise,fear
Red,22,2012.0,130087437,312319,joy,0.998620867729187,0.0004795921850018203,0.00044240837451070547,0.00017495312204118818,0.00015469979553017765,0.0001273886882700026
Lover,Afterglow,2019.0,235997756,449807,sadness,0.0009172376012429595,0.9965416789054871,0.0006386804161593318,0.0013735332759097219,0.00020054237393196672,0.0003283759579062462
Lover,AllOfTheGirlsYouLovedBefore,2019.0,132796837,1050336,sadness,0.00023312889970839024,0.9990308284759521,0.00015892977535258979,0.0002053513308055699,0.00011326829553581774,0.0002586047339718789
Red,AllTooWell,2012.0,223370629,75493,joy,0.8050225377082825,0.17613226175308228,0.007309562526643276,0.005211871583014727,0.0021533998660743237,0.004170392174273729
Red,AllTooWell10MinuteVersion,2012.0,8120812,18554,joy,0.590260922908783,0.3317956030368805,0.015552325174212456,0.026483474299311638,0.004898995626717806,0.031008703634142876
1989,AllYouHadtoDoWasStay,2014.0,168559318,184627,joy,0.5151157379150391,0.13982036709785461,0.019635682925581932,0.2888360917568207,0.004103413317352533,0.03248868137598038
Midnights,AntiHero,2022.0,12258351,29742,joy,0.9843935370445251,0.0008447917643934488,0.012781419791281223,0.0005222649779170752,0.000978544820100069,0.00047941316734068096
TaylorSwift,APerfectlyGoodHeart,2006.0,16846100,23619,joy,0.9975860118865967,0.0008425487903878093,0.0006261783419176936,0.0004636144731193781,0.00021759998344350606,0.00026412642910145223
TaylorSwift,APlaceInThisWorld,2006.0,27619389,38850,sadness,0.06802196800708771,0.9193388819694519,0.0028927770908921957,0.003027471248060465,0.0005627117934636772,0.006156249903142452
Folklore,august,2020.0,539984669,1002473,sadness,0.000847095565404743,0.9960368275642395,0.00037080628680996597,0.0013594409683719277,0.00022693537175655365,0.0011590409558266401
SpeakNow,BacktoDecember,2010.0,301954570,467810,sadness,0.029083507135510445,0.9585673809051514,0.00269402377307415,0.006787261459976435,0.0007259175763465464,0.002141847275197506
