Album,Song,Year,Total_Streams,Daily,BestEmotion,joy,sadness,love,anger,surprise,fear
Red,22,2012.0,130087437,312319,joy,0.5522082448005676,0.3985259234905243,0.01951576955616474,0.013185078278183937,0.00918907392770052,0.007375988643616438
Lover,Afterglow,2019.0,235997756,449807,sadness,0.014561294578015804,0.9433807730674744,0.004576920997351408,0.024801969528198242,0.005012510344386101,0.007666541263461113
Lover,AllOfTheGirlsYouLovedBefore,2019.0,132796837,1050336,love,0.270245224237442,0.02550005540251732,0.5213059782981873,0.04664921760559082,0.09354599565267563,0.04275348782539368
Red,AllTooWell,2012.0,223370629,75493,sadness,0.020283564925193787,0.8027980923652649,0.009737967513501644,0.09010619670152664,0.01558570098131895,0.06148859113454819
Red,AllTooWell10MinuteVersion,2012.0,8120812,18554,sadness,0.014420540072023869,0.8783915638923645,0.0062799882143735886,0.06662649661302567,0.008838922716677189,0.02544235996901989
1989,AllYouHadtoDoWasStay,2014.0,168559318,184627,sadness,0.04189115762710571,0.7995134592056274,0.012804963625967503,0.10397552698850632,0.013944918289780617,0.027869975194334984
Midnights,AntiHero,2022.0,12258351,29742,joy,0.9052118062973022,0.014451034367084503,0.06078116223216057,0.005485420115292072,0.009241498075425625,0.004829016048461199
TaylorSwift,APerfectlyGoodHeart,2006.0,16846100,23619,joy,0.8611132502555847,0.09764784574508667,0.021422525867819786,0.007441199384629726,0.007354142144322395,0.005021042190492153
TaylorSwift,APlaceInThisWorld,2006.0,27619389,38850,joy,0.9454396367073059,0.021072912961244583,0.021790334954857826,0.00355221307836473,0.005158558953553438,0.0029863277450203896
Folklore,august,2020.0,539984669,1002473,sadness,0.014204387553036213,0.5321271419525146,0.012519149109721184,0.2900681793689728,0.025627247989177704,0.125453919172287
SpeakNow,BacktoDecember,2010.0,301954570,467810,sadness,0.0221803430467844,0.9375794529914856,0.0051110172644257545,0.02163471281528473,0.0052931224927306175,0.008201182819902897
1989,BadBlood,2014.0,423517516,593247,sadness,0.009843806736171246,0.8648954629898071,0.0057463934645056725,0.0897417813539505,0.008379137143492699,0.02139349840581417
Red,BeginAgain,2012.0,113240855,43423,fear,0.0259487796574831,0.029787877574563026,0.07572203129529953,0.17079216241836548,0.217154860496521,0.480594277381897
Midnights,Bejeweled,2022.0,284042733,926232,sadness,0.28512340784072876,0.37044477462768555,0.0704573467373848,0.14014004170894623,0.05203289911150932,0.08180153369903564
SpeakNow,BetterThanRevenge,2010.0,146903835,274237,sadness,0.04101410135626793,0.8774793744087219,0.008527008816599846,0.04656461626291275,0.009221152402460575,0.01719379797577858
Folklore,betty,2020.0,228639083,263177,sadness,0.021427495405077934,0.9328765869140625,0.005210196133702993,0.024813035503029823,0.005776210222393274,0.009896459057927132
1989,BlankSpace,2014.0,1241540274,1718554,sadness,0.01164541020989418,0.827632486820221,0.006672008894383907,0.11540889739990234,0.010170480236411095,0.028470739722251892
Fearless,Breathe,2008.0,63171548,16971,sadness,0.014770181849598885,0.9447396397590637,0.004639062099158764,0.02256453037261963,0.0051564062014222145,0.0081300288438797
