Album,Song,Year,Total_Streams,Daily,Lyrics
Red,22,2012,130087437,312319,feels like perfect night dress like hipsters make fun exes huh huh feels like perfect night breakfast midnight fall love strangers huh huh precious yeah happy free confused lonely time miserable magical oh yeah tonights night forget deadlines time ooh chorus dont know im feelin everything alright keep next dont know ill bet want everything be alright keep dancin like were verse 2 seems like one nights place crowded many cool kids huh huh whos taylor swift anyway ew seems like one nights ditch whole scene end dreaming instead sleeping precious yeah happy free confused lonely best way miserable magical oh yeah tonights night forget heartbreaks time ooh might also hey dont know im feelin everything alright ooh keep next dont know ill bet want everything alright alright keep dancin like oh oh oh oh oh dont know ooh feels like one nights ditch whole scene feels like one nights wont sleeping feels like one nights look like bad news got ta got ta bridge ooh oh yeah hey yeah chorus hey dont know dont know im feelin everything alright ooh ooh keep next dont know dont know ill bet want everything alright keep dancin like dance like ooh dancin like yeah yeah yeah yeah yeah feels like one nights ditch whole scene feels like one nights wont sleeping feels like one nights look like bad news got ta got ta
Lover,Afterglow,2019,235997756,449807,blew things proportion your blue put jail something i pinned hands behind back oh thought reason attack precious 1 fighting true love boxing gloves chemistry til blows til i us why break love much face im blame need say chorus hey head im one burned us meant sorry hurt dont wan na i wan na ooh i wan na lose dont wan na lose ooh need say hey i dont go meet verse 2 excruciating see low wan na lift let go ultraviolet morning light tells love worth fight oh precious 2 lived like island punished silence went like sirens crying why break love much i face dont walk away need say chorus hey head im one burned us meant im sorry hurt dont wan na dont wan na ooh dont wan na lose dont wan na lose ooh need say hey dont go meet might also tell your still mine tell well fine even lose mind need say tell fault tell im want even break heart need say chorus hey head im one burned us meant sorry hurt dont wan na dont wan na ooh dont wan na lose dont wan na lose ooh need say hey dont go meet
Lover,AllOfTheGirlsYouLovedBefore,2019,132796837,1050336,think late nights lame fights phone wake mornin someone feelin alone refrain heart drawn around name someones handwriting mine sneaking town holding hands killing time precious past mine parallel lines stars aligned intertwined taught way call baby treat like lady say chorus girls loved ooh made one ive fallen every deaden street led straight your need im thankful girls loved love verse 2 think makeup fake love town ooh crying bathroom dude whose name remember refrain secret jokes alone ones home sixteen wild ooh breaking makin leave without sayin goodbye ooh might also know everything made call baby thats your amazing chorus girls loved ooh made one ive fallen every deaden street led straight your need im thankful girls loved love bridge mother brought loyal kind teenage love taught theres good goodbye every woman knew brought wan na teach forever feels like chorus girls loved ooh made one ive fallen every deaden street deaden street led straight straight your need need im thankful girls loved love outdo love love
Red,AllTooWell,2012,223370629,75493,walked door air cold something bout felt like home somehow left scarf sisters house youve still got drawer even verse 2 oh sweet disposition widened gaze singing car getting lost upstate autumn leaves falling like pieces place picture days precious know long gone magics might okay im fine oh oh oh chorus cause little town street almost ran red cause lookin wind hair remember well verse 3 photo album counter cheeks turning red used little kid glasses bed mothers telling stories bout eyeball team taught bout past thinking future precious know long gone nothing else could forget long enough forget needed chorus cause middle night dancing i round kitchen refrigerator light stairs remember well yeah might also well maybe got lost translation maybe asked much maybe thing masterpiece til tore running scared remember well call break like promise casually cruel name honest im crumpled piece paper lying cause remember well verse 4 time wont fly like im paralyzed id like old self im still trying find plaid shirt days nights made mail back things walk home alone keep old scarf first week cause reminds innocence smells like cant get rid cause remember well yeah chorus cause loved back lost one real thing youve ever known rare remember well outdo wind hair remember stairs remember rare remember
Red,AllTooWell10MinuteVersion,2012,8120812,18554,walked door air cold somethin bout felt like home somehow left scarf sisters house youve still got drawer even verse 2 oh sweet disposition widened gaze singin car getting lost upstate autumn leaves fallin like pieces place picture days precious know long gone magics might okay im fine oh oh oh chorus cause are little town street almost ran red cause lookin wind hair remember well verse 3 photo album counter cheeks turning red used little kid glasses bed mothers tellin stories bout eyeball team taught bout past thinkin future tossing car keys fuck patriarchy keychain ground always skipping town thinkin drive time hes gon na say love never called til dead gone buried check pulse come back swearing three months grave wondered went reached felt shame held lifeless frame might also know long gone nothing else could forget long enough forget needed chorus cause middle night dancin round kitchen refrigerator light stairs remember well nobody know kept like secret kept like oath sacred prayer wed swear remember well yeah bridge well maybe got lost translation maybe asked much maybe thing masterpiece til tore runnin scared remember well call break like promise casually cruel name bein honest im crumpled piece paper lying cause remember verse 4 say alls well ends well im new hell every time mind said closer age maybe wouldve fine made want die idea jewel whose shine reflects weeping party bathroom actress asking happened thats happened charmed dad jokes sipping coffee like your show watched watch front door night willing come said supposed fun turning verse 5 time wont fly like im paralyzed id like old self im still tryin find plaid shirt days nights made mail back things walk home alone keep old scarf first week cause reminds innocence smells like cant get rid cause remember well yeah chorus cause loved back lost one real thing youve ever known rare remember well wind hair remember stairs remember rare remember well verse 6 never good tellin jokes punch line goes ill get older lovers stay age brooklyn broke skin bones im soldier whos returning half weight twin flame bruise paint blue us love affair maim cause city barren cold still remember first fall snow glistened fell remember well outdo us love affair maim well us remember well us remember well us say alls well ends well im new hell every time mind said closer age maybe wouldve fine made want die idea jewel whose shine reflects weeping party bathroom actress asking happened thats happened charmed dad jokes sipping coffee like your show watched watch front door night willing come said supposed fun turning wind hair stairs sacred prayer
1989,AllYouHadtoDoWasStay,2014,168559318,184627,hey hey hey hey hey hey hey hey hey hey hey hey verse 1 people like always want back love gave away people like wan na believe say youve changed think less know know drove us road chorus stay hey stay palm hand why go lock let stay hey say want back late well couldve easy stay stay stay stay stay verse 2 calling dont know say ive picking pieces mess made people like always want back love pushed aside people like gone forever say goodbye chorus stay hey stay palm hand why go lock let stay hey say want back late well couldve easy stay might also stay stay stay stay stay stay stay bridge let remind wanted oh oh oooh ended wanted oh oh oooh like like like oh chorus stay hey stay palm hand why want go lock let stay hey say want back late well couldve easy stay hey stay palm hand why go lock let stay hey say want back late well couldve easy stay stay stay oh stay stay ooh
Midnights,AntiHero,2022,12258351,29742,thing get older never wiser midnights become depression works graveyard shift people ive ghosted stand room precious left devices come prices vices end crisis tale old time wake screaming dreaming one day ill watch your leaving cause got tired scheming last time chorus hi im problem teatime everybody agrees ill stare directly sun never mirror must exhausting always rooting anther verse 2 sometimes feel like everybody sexy baby im monster hill big hang slowly lurching toward favorite city pierced heart never killed precious hear covert narcissism disguise altruism like kind congressman tale old time wake screaming dreaming one day ill watch your leaving life lose meaning last time chorus hi im problem im problem teatime everybody agrees ill stare directly sun never mirror must exhausting always rooting anther might also dream kills money thinks left family gathers round reads someone screams shes laughing us hell breakdown hi im problem hi im problem hi everybody agrees everybody agrees chorus hi hi im problem im problem teatime teatime everybody agrees everybody agrees ill stare directly sun never mirror must exhausting always rooting
TaylorSwift,APerfectlyGoodHeart,2006,16846100,23619,would wan na break perfectly good heart would wan na take love tear apart would wan na make first scar would wan na break perfectly good heart verse maybe shouldve seen signs shouldve read writing wall realized distance eyes would one fall precious matter say still cant believe would walk away dont make sense chorus would wan na break perfectly good heart would wan na take love tear apart would wan na make first scar would wan na break perfectly good heart bridge unbroken anymore unbroken anymore get back way chorus would wan na break perfectly good heart would wan na take love tear apart would wan na make first scar would wan na break would wan na break might also would wan na break perfectly good heart would wan na take love tear apart would wan na make first scar would wan na break perfectly good heart
TaylorSwift,APlaceInThisWorld,2006,27619389,38850,dont know want dont ask cause im still trying figure dont know whats road im walking trying see rain coming even though im one feels way chorus im alone thats know ill strong ill wrong oh life goes oh im girl trying find place world verse 2 got radio old blue jeans im wearing heart sleeve feeling lucky today got sunshine could tell need tomorrows mystery oh yeah thats okay chorus im alone thats know ill strong ill wrong oh life goes oh im girl trying find place world bridge maybe im girl mission im ready fly chorus im alone thats know ill strong ill wrong oh life goes oh im alone thats know oh im girl trying find place world outdo oh im girl oh im girl oh oh oh im girly might also
Folklore,august,2020,539984669,1002473,salt air rust door never needed anything whispers sure never ever chorus see us lost memory august slipped away moment time cause never mine see us twisted bedsheets august sipped away like bottle wine cause never mine verse 2 back beneath sun within could write name call your back school remember thinkin chorus see us lost memory august slipped away moment time cause never mine see us twisted bedsheets august sipped away like bottle wine cause never mine might also back still changing better wanting enough enough live hope cancel plans case youd call say meet behind mall much summer love saying us cause werent mine lose werent mine lose chorus see us lost memory august slipped away moment time cause never mine see us twisted bedsheets august sipped away like bottle wine cause never mine outdo cause never mine never mine remember remember pulled said get car canceled plans case youd call back livin hope hope meet behind mall remember pulled said get car canceled plans case youd call back livin hope hope meet behind mall remember pulled said get car canceled plans case youd call back livin hope hope hope hope hope hope
